productName,productPrice,seller,city,unitSold,rating
Kerupuk Seblak Pedas 200gram,Rp19.000,,,100+ terjual,4.8
MAKARONI ASIN GURIH SPIRAL 2KG - 1 kg,Rp65.000,,,500+ terjual,5.0
BASRENG STIK PEDAS DAUN JERUK 200GR,Rp21.137,,,1rb+ terjual,4.9
Rasa Juara Seblak Original Instan | Seblak Juara Original 130gr,Rp14.200,Wu Meyers Official Shop,Surabaya,18 terjual,5.0
Paket Isi 6 Cuanki Instan Lakoca | Latagor | Seblak | Makaroni,Rp93.840,Lakoca Official Shop,Cimahi,50+ terjual,4.9
kerupuk seblak pedas/kerupuk jablai 100gram,Rp8.000,Warung Snackk,Tangerang,16 terjual,5.0
Kerupuk Bawang Prima / Kerupuk Warna Warni / Krupuk Seblak 250gr,Rp11.750,food Service Ingredients,Jakarta Timur,2 terjual,5.0
Baso urat djuara sami raos/Baso Aci Urat /Seblak,Rp28.000,Snack Zone Official,Jakarta Selatan,19 terjual,5.0
seblak kering RAFAEL mawar pedas daun jeruk 1KG MEGA SNACK,Rp32.000,Mega Snack 095,Cimahi,14 terjual,5.0
Seblak Instan Pedas Home Made,Rp3.500,the Dhecip,Tangerang Selatan,4rb+ terjual,4.9
1KG SEBLAK BETON RENYAH VIRAL Cemilan,Rp42.000,Cemilanku Kaya Bumbu,Kab.Ciamis,30+ terjual,4.9
KRUPUK / KERUPUK MENTAH / KERUPUK SEBLAK MENTAH 1kg SLONDOK,Rp22.000,SuperSnacksShop,Kab. Bandung,250+ terjual,4.9
seblak kerupuk mix campur kerupuk seblak campur mix basreng/jaat beton/kerupuk rafael/kerupuk seblak dll pedas daun jeruk,Rp41.000,Warungceria2020,Kab. Garut,30+ terjual,4.3
"pangsit segitiga, cipet isi 100 pcs topping baso aci dan seblak",Rp30.999,,,2 terjual,
cuanki tahu bulat sohu besar isi 50 topping baso aci seblak,Rp17.999,,,13 terjual,5.0
"siomay mini,  gurilem cimol pangsit 500 gram toping baso aci seblak",Rp13.500,,,23 terjual,4.3
cuanki tahu kering seblak atau batagor kering isi 150 pcs,Rp32.999,CUANKI CULAMETAN,Kab. Garut,250+ terjual,4.8
PAKET SEBLAK INSTAN ISI 10pcs LEBIH MURAH,Rp28.500,BANDUNG SNACK CENTER.ID,Kab. Bandung,1 terjual,5.0
"Cuanki Lidah Bulat/ Tahu Geprek Isi 100 Pcs Toping Baso Aci, Mie Tan, Seblak",Rp80.150,Jein Lary,Jakarta Pusat,,
Kylafood paket 2 Seblak cup + 2 Seblak rempah autentik,Rp48.240,kylafood,Bandung,24 terjual,4.9
Paket Seblak 10  Bungkus Makanan Tan Murah Halal,Rp32.999,Jein Lary,Jakarta Pusat,,
Cuanki Lidah Topping Baso Aci Seblak Isi 50 Biji,Rp13.000,Pedas Gilaa,Surabaya,250+ terjual,4.9
Rasa Juara Seblak Original Instan | Seblak Juara Original 130gr,Rp14.200,Wu Meyers Official Shop,Surabaya,18 terjual,5.0
Seblak RAFAEL | Seblak MAMANG RAFAEL | Seblak Viral,Rp40.000,Naturally Plus Jakarta,Kab. Tangerang,250+ terjual,5.0
"baso aci, bakso aci, cuanki, seblak instan, boci",Rp8.000,baso aci masabi,Jakarta Selatan,2rb+ terjual,4.8
Agen Seblak Mommy,Rp9.999,Kenal Jaya Bandung,Bandung,4rb+ terjual,4.9
Seblak Instan Sehati,Rp15.000,,,750+ terjual,
Seblak Koin,Rp20.000,,,500+ terjual,
Mie Seblak Geprek Sami Raos,Rp31.000,,,100+ terjual,
Kylafood Seblak Mie Baso,Rp23.375,kylafood,Bandung,4rb+ terjual,4.9
cuanki tahu gepeng isi 100 pcs toping seblak bsso aci,Rp38.111,CUANKI CULAMETAN,Kab. Garut,100+ terjual,4.9
Kylafood Seblak Rempah Autentik isi (10pcs),Rp116.100,kylafood,Bandung,100+ terjual,4.8
cuanki lidah isi 50 topping baso aci dan seblak,Rp11.999,Culametan Food,Kab. Garut,80+ terjual,4.8
Kylafood Seblak Mie Baso Sapi Play,Rp23.375,kylafood,Bandung,500+ terjual,4.9
Krupuk Seblak Kencur Pedes 250 gr,Rp21.000,pasarbadung,Denpasar,30+ terjual,4.9
KERUPUK SEBLAK RAFAEL PEDAS DAUN JERUK,Rp17.500,BociKakang,Jakarta Selatan,60+ terjual,4.9
Bumbu Penyedap Baso Aci / Seblak,Rp14.500,Pusat Cuankie & Cemilan Frozen,Jakarta Timur,250+ terjual,4.9
Seblak RAFAEL | Seblak MAMANG RAFAEL | Seblak Viral ORIGINAL TATANGGA,Rp44.500,Beauty DELUXE,Jakarta Barat,70+ terjual,4.9
Kerupuk Seblak Mentah 200gr - Krupuk Oren Matahari Pagi MP - Kemplang,Rp4.000,Cuanki_Bandung,Kab. Bandung,90+ terjual,4.9
Indomie Hypeabis Seblak Hot Jeletot,Rp3.198,,,3rb+ terjual,
1 ctn - Indomie Hypeabis Seblak Hot Jeletot,Rp128.131,,,30+ terjual,
4 Pcs - Indomie HypeAbis Rasa Seblak Hot Jeletot,Rp12.708,,,100+ terjual,
Kerupuk Emping Mentah Ciping,Rp23.500,Gerai Singawada,Kab. Majalengka,5 terjual,5.0
Kerupuk Puli Gendar cap Telor Walet khas Madiun,Rp22.000,Pisang Goreng Madu Bu Nanik,Jakarta Barat,1rb+ terjual,4.9
Emping Manis Pedas Majalengka,Rp18.000,Gerai Singawada,Kab. Majalengka,21 terjual,5.0
Kerupuk Rambak Sapi Seven Snack,Rp15.000,Pisang Goreng Madu Bu Nanik,Jakarta Barat,1rb+ terjual,4.9
